qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,x,y,z
58014714,-938,-107,325
63014714,-936,-104,317
68014714,-918,-98,334
73014714,-903,-111,360
78014714,-905,-106,368
83014714,-897,-101,360
88014714,-897,-96,362
93014714,-888,-93,368
98014714,-886,-88,368
103014714,-887,-92,372
108014714,-891,-87,376
113014714,-903,-90,377
118014714,-897,-88,388
123014714,-904,-92,383
128014714,-897,-103,374
133014714,-901,-106,367
138014714,-901,-104,368
143014714,-902,-105,364
148014714,-910,-99,351
153014714,-902,-101,363
158014714,-911,-92,340
163014714,-898,-98,348
168014714,-896,-85,336
173014714,-900,-90,331
178014714,-896,-99,330
183014714,-892,-99,338
188014714,-898,-91,333
193014714,-898,-93,337
198014714,-894,-89,345
203014714,-892,-83,352
208014714,-888,-90,364
213014714,-900,-83,360
218014714,-903,-87,367
223014714,-898,-97,378
228014714,-908,-103,381
233014714,-910,-112,382
235293766,-933,-114,389
240293766,-943,-116,395
245293766,-935,-113,408
250293766,-944,-112,395
255293766,-954,-110,373
260293766,-962,-114,374
265293766,-955,-116,376
270293766,-953,-116,359
275293766,-948,-111,354
280293766,-946,-104,332
285293766,-944,-99,317
290293766,-939,-90,322
295293766,-927,-81,362
300293766,-924,-61,368
305293766,-931,-60,342
310293766,-928,-58,316
315293766,-925,-52,312
320293766,-912,-47,314
325293766,-903,-42,314
330293766,-897,-42,306
335293766,-894,-46,300
340293766,-888,-46,306
345293766,-885,-44,305
350293766,-884,-45,316
355293766,-885,-46,323
360293766,-883,-47,326
365293766,-887,-54,319
370293766,-886,-58,321
375293766,-884,-61,322
380293766,-886,-69,324
385293766,-892,-72,326
390293766,-894,-76,327
395293766,-895,-78,334
400293766,-905,-85,334
405293766,-912,-88,338
410293766,-920,-94,343
412542300,-922,-90,347
417542300,-935,-93,344
422542300,-934,-94,345
427542300,-937,-91,345
432542300,-938,-94,348
437542300,-942,-95,341
442542300,-941,-92,333
447542300,-938,-93,342
452542300,-933,-91,340
457542300,-931,-89,345
462542300,-931,-92,336
467542300,-929,-90,338
472542300,-931,-91,339
477542300,-927,-94,339
482542300,-927,-98,336
487542300,-926,-99,332
492542300,-926,-101,332
497542300,-925,-104,328
502542300,-918,-103,326
507542300,-915,-101,327
512542300,-911,-101,325
517542300,-913,-104,323
522542300,-903,-103,330
527542300,-902,-102,327
532542300,-905,-105,324
537542300,-905,-104,330
542542300,-904,-105,329
547542300,-904,-103,330
552542300,-902,-101,332
557542300,-905,-100,323
562542300,-905,-99,323
567542300,-903,-99,328
572542300,-907,-99,326
577542300,-905,-99,330
582542300,-907,-98,331
587542300,-911,-98,332
589882392,-912,-97,337
594882392,-915,-94,340
599882392,-918,-92,338
604882392,-917,-91,341
609882392,-916,-89,337
614882392,-913,-90,342
619882392,-912,-91,340
624882392,-911,-91,348
629882392,-913,-90,345
634882392,-916,-86,346
639882392,-915,-85,347
644882392,-919,-85,348
649882392,-920,-81,352
654882392,-917,-80,348
659882392,-916,-83,352
664882392,-917,-81,356
669882392,-917,-81,355
674882392,-912,-80,355
679882392,-913,-79,357
684882392,-907,-82,350
689882392,-906,-85,354
694882392,-908,-85,356
699882392,-908,-85,353
704882392,-905,-89,355
709882392,-906,-84,356
714882392,-906,-82,356
719882392,-909,-86,350
724882392,-908,-86,351
729882392,-909,-88,350
734882392,-909,-88,352
739882392,-908,-87,356
744882392,-909,-91,347
749882392,-909,-89,348
754882392,-912,-87,347
759882392,-905,-89,348
764882392,-906,-85,353
767283546,-902,-89,352
772283546,-905,-92,353
777283546,-905,-91,355
782283546,-902,-84,348
787283546,-902,-89,352
792283546,-902,-91,352
797283546,-904,-86,347
802283546,-907,-85,354
807283546,-907,-88,350
812283546,-910,-86,349
817283546,-908,-84,356
822283546,-911,-88,358
827283546,-911,-88,355
832283546,-909,-89,351
837283546,-907,-90,354
842283546,-907,-92,356
847283546,-906,-93,369
852283546,-908,-90,375
857283546,-912,-76,378
862283546,-923,-76,366
867283546,-930,-77,342
872283546,-929,-90,297
877283546,-923,-92,281
882283546,-907,-85,319
887283546,-898,-81,355
892283546,-900,-80,348
