qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,bpm,rr
0,74,1004
975357018,73,972
1949840718,72,978
3000666730,71,933,935
3975978878,70,825
4951599788,70,775
5963898724,71,832
6976628496,72,1073
7950674291,71,1148
8962979172,70,1034
10015784782,68,887,812
11026440378,69,791
11964312854,70,809
12976090617,71,845,774
13955705426,72,729
14964213790,73,713
15976641619,75,742
16989314119,77,1262
17966084147,80,1157
18975710542,80,1063
19950078330,80,1021
20962589577,79,854,734
21975966265,79,705
22950254718,80,692
23963902990,81,700
24975815600,82,806
25950801063,82,1134
27003390818,78,1079
27976738587,72,1043,1007
28951573402,71,970
29964521235,70,863
30976031032,71,759,708
31950665014,74,690
32968223335,77,694
33975959300,79,780
34988179354,79,1183
35963195244,78,1095
36975226274,72,1043
37950594671,70,998
38963282910,69,926,843
39975400679,70,764,717
40954704181,73,692
41963712253,81,669,662
43013721741,81
44030014286,82,679
44963603263,84,748
45977046423,84,1105
46951164548,81,1103
47964905716,75,1089
48983273787,71,1069
49951014142,68,1045,1078
